index,korean,english,math
1,13,29,49
2,34,19,63
3,75,65,89
4,6,37,33
5,89,78,37
6,83,47,51
7,47,60,43
8,10,12,54
9,88,94,92
10,98,57,10
11,40,9,52
12,45,53,12
13,29,56,7
14,100,62,77
15,20,83,68
16,30,99,79
17,8,51,23
18,36,46,12
19,49,99,67
20,77,91,23
21,43,98,45
22,89,38,76
23,35,79,32
24,92,100,3
25,56,32,15
26,61,3,62
27,30,11,58
28,96,70,25
29,49,66,69
30,82,29,96
31,19,8,16
32,33,71,23
33,33,94,21
34,13,8,99
35,44,65,74
36,34,78,84
37,48,89,60
38,87,55,97
39,59,89,26
40,43,56,91
41,78,100,72
42,62,36,26
43,10,85,43
44,81,19,57
45,59,62,91
46,72,42,86
47,79,94,75
48,34,89,46
49,74,8,99
50,12,62,15
